Title|PageLink|Date|Section|Author
Objetivo: buscar el gluten para proteger a los celíacos |https://retina.elpais.com/retina/2019/04/02/innovacion/1554205772_620856.html|2019-04-04T07:45:06+02:00|Santiago Blázquez|Santiago Blázquez
“Los investigadores son muy buenos en lo suyo, hay que dejarles hacer y poner un CEO” |https://retina.elpais.com/retina/2019/03/06/innovacion/1551877077_100801.html|2019-03-12T08:01:58+01:00|Esther Paniagua|Esther Paniagua
Realidad virtual para celebrar tus reuniones |https://retina.elpais.com/retina/2019/03/11/innovacion/1552292830_741319.html|2019-03-12T13:41:28+01:00|El País Retina|El País Retina
Un conserje para tu ruptura: desde la mudanza hasta el terapeuta |https://retina.elpais.com/retina/2019/02/28/innovacion/1551350602_742245.html|2019-03-01T11:01:17+01:00|El País Retina|El País Retina
Visitamos Lanzadera, la fábrica de empresarios innovadores del dueño de Mercadona |https://retina.elpais.com/retina/2019/02/18/innovacion/1550490272_715618.html|2019-02-22T07:55:10+01:00|Tomás López Morales|Tomás López Morales
El emprendedor tecnológico que ha conseguido su tercer récord mundial rodeado de tiburones |https://retina.elpais.com/retina/2019/02/07/talento/1549536786_300310.html|2019-02-10T01:25:56+01:00|Javier Cortés|Javier Cortés
“Si el conocimiento no se convierte en dinero no habrá dinero que financie el conocimiento” |https://retina.elpais.com/retina/2019/02/05/talento/1549370775_470090.html|2019-02-06T07:52:56+01:00|Tomás López Morales|Tomás López Morales
Escala: la mentalidad del emprendedor digital |https://retina.elpais.com/retina/2019/02/04/talento/1549276517_387559.html|2019-02-05T14:12:16+01:00|Alberto González Pascual|Alberto González Pascual
¿Cómo me aseguro de que mi invento no existe ya en China? |https://retina.elpais.com/retina/2019/01/31/innovacion/1548933633_368427.html|2019-02-04T06:07:27+01:00|José Ángel Plaza López|José Ángel Plaza López
Una app para que las empresas controlen el horario de sus empleados |https://retina.elpais.com/retina/2019/01/30/innovacion/1548835749_835044.html|2019-01-30T09:19:30+01:00|El País Retina|El País Retina
Trim (o cómo encontrarle más utilidades a la basura) |https://retina.elpais.com/retina/2019/01/29/innovacion/1548763830_867987.html|2019-01-30T07:58:45+01:00|Jaime Susanna|Jaime Susanna
La inteligencia artificial española busca al rey Midas (y no lo encuentra) |https://retina.elpais.com/retina/2019/01/23/tendencias/1548238602_920879.html|2019-01-26T05:16:38+01:00|Montse Hidalgo Pérez|Montse Hidalgo Pérez
